bundle,prefix,animation,sprite,palette,palette_status,sprite_width,sprite_height,trim_width,trim_height,bbox_left,bbox_top,bbox_right,bbox_bottom,path
battle_unit1,banditGuardianM,charge,banditGuardianM_charge_6,banditGuardianM_palette,applied,29,47,27,45,1,1,28,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_charge_6.png
battle_unit1,banditCrossbowM2,walk,banditCrossbowM2_walk_5,banditCrossbowM2_palette,applied,29,45,27,43,1,1,28,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_walk_5.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_5,animalsWolfset01_palette,applied,52,34,50,32,1,1,51,33,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_5.png
battle_unit1,banditGuardianM,cast,banditGuardianM_cast_1,banditGuardianM_palette,applied,24,42,22,40,1,1,23,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cast_1.png
battle_unit1,banditGuardianM,idle,banditGuardianM_idle_7,banditGuardianM_palette,applied,31,46,29,44,1,1,30,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_idle_7.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_4,animalsWolfset01_palette,applied,51,36,49,34,1,1,50,35,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_4.png
battle_unit1,banditCrossbowM2,wait,banditCrossbowM2_wait_4,banditCrossbowM2_palette,applied,20,49,18,47,1,1,19,48,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_wait_4.png
battle_unit1,animalsWolfset01,walk,animalsWolfset01_walk_3,animalsWolfset01_palette,applied,49,40,47,38,1,1,48,39,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_walk_3.png
battle_unit1,blackcat,turn,blackcat_turn_2,blackcat_palette,applied,17,21,15,19,1,1,16,20,Sprites/Pixel/battle_unit1/blackcat/blackcat_turn_2.png
battle_unit1,banditCrossbowM2,idle,banditCrossbowM2_idle_0,banditCrossbowM2_palette,applied,28,45,26,43,1,1,27,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_idle_0.png
battle_unit1,banditCrossbowM2,charge,banditCrossbowM2_charge_2,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_charge_2.png
battle_unit1,banditGuardianM,cast,banditGuardianM_cast_2,banditGuardianM_palette,applied,24,42,22,40,1,1,23,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cast_2.png
battle_unit1,blackcat,wait5,blackcat_wait5_0,blackcat_palette,applied,21,25,19,23,1,1,20,24,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait5_0.png
battle_unit1,animalsWolfset01,walk,animalsWolfset01_walk_1,animalsWolfset01_palette,applied,51,44,49,42,1,1,50,43,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_walk_1.png
battle_unit1,banditCrossbowM2,injured,banditCrossbowM2_injured_0,banditCrossbowM2_palette,applied,34,46,32,44,1,1,33,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injured_0.png
battle_unit1,banditGuardianM,attack2,banditGuardianM_attack2_1,banditGuardianM_palette,applied,26,44,24,42,1,1,25,43,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack2_1.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_3,banditCrossbowM2_palette,applied,20,47,18,45,1,1,19,46,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_3.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_1,animalsWolfset01_palette,applied,50,33,48,31,1,1,49,32,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_1.png
battle_unit1,banditCrossbowM2,attack,banditCrossbowM2_attack_4,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_attack_4.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_2,animalsWolfset01_palette,applied,40,51,38,49,1,1,39,50,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_2.png
battle_unit1,banditGuardianM,attack2,banditGuardianM_attack2_0,banditGuardianM_palette,applied,28,45,26,43,1,1,27,44,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack2_0.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_2,banditCrossbowM2_palette,applied,34,46,32,44,1,1,33,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_2.png
battle_unit1,banditCrossbowM2,reload,banditCrossbowM2_reload_8,banditCrossbowM2_palette,applied,27,45,25,43,1,1,26,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_reload_8.png
battle_unit1,banditCrossbowM2,walk,banditCrossbowM2_walk_7,banditCrossbowM2_palette,applied,28,46,26,44,1,1,27,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_walk_7.png
battle_unit1,banditGuardianM,wait,banditGuardianM_wait_0,banditGuardianM_palette,applied,25,49,23,47,1,1,24,48,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_wait_0.png
battle_unit1,banditCrossbowM2,jumpUp,banditCrossbowM2_jumpUp_1,banditCrossbowM2_palette,applied,27,50,25,48,1,1,26,49,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_jumpUp_1.png
battle_unit1,animalsWolfset01,injured,animalsWolfset01_injured_0,animalsWolfset01_palette,applied,39,36,37,34,1,1,38,35,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_injured_0.png
battle_unit1,banditCrossbowM2,wait,banditCrossbowM2_wait_5,banditCrossbowM2_palette,applied,22,49,20,47,1,1,21,48,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_wait_5.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_2,banditCrossbowM2_palette,applied,23,48,21,46,1,1,22,47,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_2.png
battle_unit1,banditCrossbowM2,idle,banditCrossbowM2_idle_4,banditCrossbowM2_palette,applied,26,45,24,43,1,1,25,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_idle_4.png
battle_unit1,banditGuardianM,charge,banditGuardianM_charge_1,banditGuardianM_palette,applied,33,47,31,45,1,1,32,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_charge_1.png
battle_unit1,banditCrossbowM2,cheer,banditCrossbowM2_cheer_1,banditCrossbowM2_palette,applied,26,49,24,47,1,1,25,48,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_cheer_1.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_6,animalsWolfset01_palette,applied,42,33,40,31,1,1,41,32,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_6.png
battle_unit1,banditCrossbowM2,charge,banditCrossbowM2_charge_7,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_charge_7.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_8,animalsWolfset01_palette,applied,50,43,48,41,1,1,49,42,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_8.png
battle_unit1,banditCrossbowM2,pull,banditCrossbowM2_pull_1,banditCrossbowM2_palette,applied,23,46,21,44,1,1,22,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_pull_1.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_7,banditCrossbowM2_palette,applied,45,30,43,28,1,1,44,29,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_7.png
battle_unit1,banditCrossbowM2,walk,banditCrossbowM2_walk_4,banditCrossbowM2_palette,applied,27,47,25,45,1,1,26,46,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_walk_4.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_12,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_12.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_7,animalsWolfset01_palette,applied,49,33,47,31,1,1,48,32,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_7.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_3,animalsWolfset01_palette,applied,51,44,49,42,1,1,50,43,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_3.png
battle_unit1,animalsWolfset01,injured,animalsWolfset01_injured_1,animalsWolfset01_palette,applied,45,35,43,33,1,1,44,34,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_injured_1.png
battle_unit1,banditCrossbowM2,injured2,banditCrossbowM2_injured2_1,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injured2_1.png
battle_unit1,banditGuardianM,idle,banditGuardianM_idle_0,banditGuardianM_palette,applied,25,46,23,44,1,1,24,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_idle_0.png
battle_unit1,banditGuardianM,cheer,banditGuardianM_cheer_1,banditGuardianM_palette,applied,27,47,25,45,1,1,26,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cheer_1.png
battle_unit1,blackcat,turn,blackcat_turn_0,blackcat_palette,applied,18,21,16,19,1,1,17,20,Sprites/Pixel/battle_unit1/blackcat/blackcat_turn_0.png
battle_unit1,blackcat,wait5,blackcat_wait5_3,blackcat_palette,applied,22,25,20,23,1,1,21,24,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait5_3.png
battle_unit1,banditGuardianM,injured2,banditGuardianM_injured2_1,banditGuardianM_palette,applied,28,43,26,41,1,1,27,42,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injured2_1.png
battle_unit1,banditGuardianM,attack,banditGuardianM_attack_1,banditGuardianM_palette,applied,36,49,34,47,1,1,35,48,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack_1.png
battle_unit1,blackcat,move,blackcat_move_0,blackcat_palette,applied,29,20,27,18,1,1,28,19,Sprites/Pixel/battle_unit1/blackcat/blackcat_move_0.png
battle_unit1,banditCrossbowM2,crouch,banditCrossbowM2_crouch_1,banditCrossbowM2_palette,applied,27,44,25,42,1,1,26,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_crouch_1.png
battle_unit1,blackcat,wait,blackcat_wait_1,blackcat_palette,applied,19,20,17,18,1,1,18,19,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait_1.png
battle_unit1,banditCrossbowM2,attack,banditCrossbowM2_attack_3,banditCrossbowM2_palette,applied,28,45,26,43,1,1,27,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_attack_3.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_5,banditCrossbowM2_palette,applied,20,48,18,46,1,1,19,47,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_5.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_6,banditGuardianM_palette,applied,29,41,27,39,1,1,28,40,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_6.png
battle_unit1,banditCrossbowM2,idle,banditCrossbowM2_idle_5,banditCrossbowM2_palette,applied,26,45,24,43,1,1,25,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_idle_5.png
battle_unit1,banditGuardianM,wait,banditGuardianM_wait_2,banditGuardianM_palette,applied,24,49,22,47,1,1,23,48,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_wait_2.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_1,banditCrossbowM2_palette,applied,20,46,18,44,1,1,19,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_1.png
battle_unit1,banditCrossbowM2,charge,banditCrossbowM2_charge_5,banditCrossbowM2_palette,applied,29,44,27,42,1,1,28,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_charge_5.png
battle_unit1,animalsWolfset01,idle,animalsWolfset01_idle_3,animalsWolfset01_palette,applied,56,32,54,30,1,1,55,31,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_idle_3.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_6,animalsWolfset01_palette,applied,51,36,49,34,1,1,50,35,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_6.png
battle_unit1,blackcat,wait5,blackcat_wait5_1,blackcat_palette,applied,22,25,20,23,1,1,21,24,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait5_1.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_7,banditCrossbowM2_palette,applied,20,49,18,47,1,1,19,48,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_7.png
battle_unit1,banditCrossbowM2,walk,banditCrossbowM2_walk_3,banditCrossbowM2_palette,applied,24,45,22,43,1,1,23,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_walk_3.png
battle_unit1,banditGuardianM,cast,banditGuardianM_cast_4,banditGuardianM_palette,applied,24,42,22,40,1,1,23,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cast_4.png
battle_unit1,banditGuardianM,sprint,banditGuardianM_sprint_1,banditGuardianM_palette,applied,28,45,26,43,1,1,27,44,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_sprint_1.png
battle_unit1,banditGuardianM,cheer01,banditGuardianM_cheer01_0,banditGuardianM_palette,applied,21,48,19,46,1,1,20,47,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cheer01_0.png
battle_unit1,banditGuardianM,walk,banditGuardianM_walk_5,banditGuardianM_palette,applied,27,47,25,45,1,1,26,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_walk_5.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_1,banditCrossbowM2_palette,applied,46,34,44,32,1,1,45,33,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_1.png
battle_unit1,banditCrossbowM2,reload,banditCrossbowM2_reload_2,banditCrossbowM2_palette,applied,25,43,23,41,1,1,24,42,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_reload_2.png
battle_unit1,banditGuardianM,attackHandle,banditGuardianM_attackHandle_0,banditGuardianM_palette,applied,34,43,32,41,1,1,33,42,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attackHandle_0.png
battle_unit1,blackcat,wait3,blackcat_wait3_1,blackcat_palette,applied,21,21,19,19,1,1,20,20,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait3_1.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_2,banditGuardianM_palette,applied,37,43,35,41,1,1,36,42,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_2.png
battle_unit1,banditCrossbowM2,pull,banditCrossbowM2_pull_0,banditCrossbowM2_palette,applied,34,46,32,44,1,1,33,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_pull_0.png
battle_unit1,banditGuardianM,attack,banditGuardianM_attack_4,banditGuardianM_palette,applied,30,46,28,44,1,1,29,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack_4.png
battle_unit1,banditGuardianM,idle,banditGuardianM_idle_6,banditGuardianM_palette,applied,31,46,29,44,1,1,30,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_idle_6.png
battle_unit1,banditGuardianM,attackHandle,banditGuardianM_attackHandle_1,banditGuardianM_palette,applied,33,45,31,43,1,1,32,44,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attackHandle_1.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_13,banditGuardianM_palette,applied,43,28,41,26,1,1,42,27,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_13.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_6,banditCrossbowM2_palette,applied,19,47,17,45,1,1,18,46,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_6.png
battle_unit1,banditGuardianM,move,banditGuardianM_move_5,banditGuardianM_palette,applied,22,47,20,45,1,1,21,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_move_5.png
battle_unit1,blackcat,move,blackcat_move_4,blackcat_palette,applied,24,21,22,19,1,1,23,20,Sprites/Pixel/battle_unit1/blackcat/blackcat_move_4.png
battle_unit1,banditCrossbowM2,reload,banditCrossbowM2_reload_6,banditCrossbowM2_palette,applied,27,44,25,42,1,1,26,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_reload_6.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_9,animalsWolfset01_palette,applied,56,35,54,33,1,1,55,34,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_9.png
battle_unit1,banditCrossbowM2,reload,banditCrossbowM2_reload_0,banditCrossbowM2_palette,applied,25,45,23,43,1,1,24,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_reload_0.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_7,animalsWolfset01_palette,applied,52,34,50,32,1,1,51,33,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_7.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_1,animalsWolfset01_palette,applied,50,33,48,31,1,1,49,32,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_1.png
battle_unit1,blackcat,wait4,blackcat_wait4_3,blackcat_palette,applied,18,13,16,11,1,1,17,12,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait4_3.png
battle_unit1,banditGuardianM,cast,banditGuardianM_cast_3,banditGuardianM_palette,applied,24,42,22,40,1,1,23,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cast_3.png
battle_unit1,banditGuardianM,sprint,banditGuardianM_sprint_7,banditGuardianM_palette,applied,28,50,26,48,1,1,27,49,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_sprint_7.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_10,banditGuardianM_palette,applied,33,42,31,40,1,1,32,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_10.png
