group,bundle,texture,width,height,trim_width,trim_height,path
character,icon_character1,character_monsterspiderm2set01,128,128,72,70,Sprites/Pixel/character/icon_character1/character_monsterspiderm2set01.png
character,icon_character1,character_hpapalbishopfset01,128,128,84,114,Sprites/Pixel/character/icon_character1/character_hpapalbishopfset01.png
character,icon_character1,character_npc22,128,128,42,99,Sprites/Pixel/character/icon_character1/character_npc22.png
character,icon_character1,character_tarotguardmset02,128,128,96,114,Sprites/Pixel/character/icon_character1/character_tarotguardmset02.png
character,icon_character1,character_npc89,128,128,46,78,Sprites/Pixel/character/icon_character1/character_npc89.png
character,icon_character1,character_knightsberserkermset09,128,128,99,121,Sprites/Pixel/character/icon_character1/character_knightsberserkermset09.png
character,icon_character1,character_uwhgm3set01,128,128,102,93,Sprites/Pixel/character/icon_character1/character_uwhgm3set01.png
character,icon_character1,character_tkbird01,128,128,38,98,Sprites/Pixel/character/icon_character1/character_tkbird01.png
character,icon_character1,character_hpolicetwinsfset01,128,128,66,86,Sprites/Pixel/character/icon_character1/character_hpolicetwinsfset01.png
character,icon_character1,character_hsolomonbusinessmanmset01,128,128,66,96,Sprites/Pixel/character/icon_character1/character_hsolomonbusinessmanmset01.png
character,icon_character1,character_yserindeknightsberserkermset01,128,128,92,114,Sprites/Pixel/character/icon_character1/character_yserindeknightsberserkermset01.png
character,icon_character1,character_uahdeepfryermset01,128,128,88,86,Sprites/Pixel/character/icon_character1/character_uahdeepfryermset01.png
character,icon_character1,character_npc86,128,128,52,102,Sprites/Pixel/character/icon_character1/character_npc86.png
character,icon_character1,character_hplayermercenarygirlfset01,128,128,62,88,Sprites/Pixel/character/icon_character1/character_hplayermercenarygirlfset01.png
character,icon_character1,character_npc53,128,128,42,96,Sprites/Pixel/character/icon_character1/character_npc53.png
character,icon_character1,character_monsterflowerm4set02,128,128,72,104,Sprites/Pixel/character/icon_character1/character_monsterflowerm4set02.png
character,icon_character1,character_npc17,128,128,42,102,Sprites/Pixel/character/icon_character1/character_npc17.png
character,icon_character1,character_hsolomonhalfbloodgirlfset02,128,128,54,102,Sprites/Pixel/character/icon_character1/character_hsolomonhalfbloodgirlfset02.png
character,icon_character1,character_militaryguardianmset02,128,128,94,93,Sprites/Pixel/character/icon_character1/character_militaryguardianmset02.png
character,icon_character1,character_tbosshierophantm2set01,128,128,88,90,Sprites/Pixel/character/icon_character1/character_tbosshierophantm2set01.png
character,icon_character1,character_uwmonsteramset01,192,192,165,160,Sprites/Pixel/character/icon_character1/character_uwmonsteramset01.png
character,icon_character1,character_tarotagilemset01,128,128,106,108,Sprites/Pixel/character/icon_character1/character_tarotagilemset01.png
character,icon_character1,character_solomonguardianm2set01,128,128,58,106,Sprites/Pixel/character/icon_character1/character_solomonguardianm2set01.png
character,icon_character1,character_knightsdarkwizzardfset01,128,128,52,98,Sprites/Pixel/character/icon_character1/character_knightsdarkwizzardfset01.png
character,icon_character1,character_monsterboarmset05,128,128,85,78,Sprites/Pixel/character/icon_character1/character_monsterboarmset05.png
character,icon_character1,character_npc18,128,128,42,102,Sprites/Pixel/character/icon_character1/character_npc18.png
character,icon_character1,character_hluciasilverwolff2set02,128,128,60,100,Sprites/Pixel/character/icon_character1/character_hluciasilverwolff2set02.png
character,icon_character1,character_pirateberserkerfset01,128,128,90,86,Sprites/Pixel/character/icon_character1/character_pirateberserkerfset01.png
character,icon_character1,character_monsterfireballm2set01,128,128,46,60,Sprites/Pixel/character/icon_character1/character_monsterfireballm2set01.png
character,icon_character1,character_hsolomonparrotgirlfset01,128,128,54,99,Sprites/Pixel/character/icon_character1/character_hsolomonparrotgirlfset01.png
character,icon_character1,character_monsterspidermset03,128,128,68,72,Sprites/Pixel/character/icon_character1/character_monsterspidermset03.png
character,icon_character1,character_tbosshierophantmset02,192,192,143,147,Sprites/Pixel/character/icon_character1/character_tbosshierophantmset02.png
character,icon_character1,character_hcrimsonhousemaidkillerfset01,128,128,54,102,Sprites/Pixel/character/icon_character1/character_hcrimsonhousemaidkillerfset01.png
character,icon_character1,character_monsterslimemset05,128,128,91,84,Sprites/Pixel/character/icon_character1/character_monsterslimemset05.png
character,icon_character1,character_militaryberserkermset02,128,128,84,88,Sprites/Pixel/character/icon_character1/character_militaryberserkermset02.png
character,icon_character1,character_knightsguardianmset01,128,128,100,106,Sprites/Pixel/character/icon_character1/character_knightsguardianmset01.png
